                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.69015,                0.62354,                 1.1922,                0.91335,                0.93056,                0.92543,                0.82464,                0.44195,                0.41976,                 1.0343,             0.00096215,             0.00096215,             0.00096215
                     36,                0.69378,                0.63558,                 1.2074,                0.90019,                0.93991,                0.93254,                0.81909,                0.48832,                0.43078,                 1.0554,               0.000948,               0.000948,               0.000948
                     37,                0.68803,                0.62966,                 1.1957,                0.92953,                0.95833,                0.94856,                0.83096,                0.46984,                0.41666,                 1.0363,             0.00093385,             0.00093385,             0.00093385
                     38,                0.67025,                 0.6242,                 1.1899,                0.91728,                 0.9375,                0.93987,                0.82294,                0.43732,                0.40651,                 1.0304,              0.0009197,              0.0009197,              0.0009197
                     39,                0.69262,                 0.6277,                  1.201,                0.89321,                0.90972,                0.92103,                0.82532,                0.42429,                0.40981,                 1.0292,             0.00090556,             0.00090556,             0.00090556
                     40,                 0.6912,                0.62759,                 1.1975,                0.87808,                0.92361,                0.91737,                0.81942,                0.44927,                0.43299,                  1.035,             0.00089141,             0.00089141,             0.00089141
                     41,                0.65911,                0.60131,                 1.1676,                0.90852,                0.91667,                0.93053,                0.83385,                0.44603,                0.40211,                 1.0319,             0.00087726,             0.00087726,             0.00087726
                     42,                0.65044,                0.60113,                 1.1668,                0.87338,                0.90954,                0.92236,                0.81624,                0.45621,                 0.4307,                  1.029,             0.00086312,             0.00086312,             0.00086312
                     43,                0.65109,                0.58957,                 1.1655,                0.90094,                0.93056,                0.93737,                0.84384,                 0.4167,                0.39435,                 1.0207,             0.00084897,             0.00084897,             0.00084897
                     44,                0.63934,                0.58528,                 1.1529,                  0.888,                0.89356,                0.93277,                0.82609,                0.47913,                0.44931,                 1.0308,             0.00083482,             0.00083482,             0.00083482
                     45,                0.64067,                0.57881,                 1.1572,                0.87157,                0.93992,                0.90967,                0.81482,                0.41906,                0.40952,                 1.0152,             0.00082067,             0.00082067,             0.00082067
                     46,                 0.6017,                0.55597,                 1.1271,                0.89238,                0.93157,                0.93462,                0.83103,                0.47806,                0.39292,                 1.0079,             0.00080653,             0.00080653,             0.00080653
